         x          y        psi
   -0.8465    -0.8590    -0.8642
   -0.8731    -0.8842    -0.8915
   -0.9029    -0.9067    -0.9210
   -0.9302    -0.9440    -0.9514
   -0.9548    -0.9673    -0.9697
   -0.9725    -0.9748    -0.9746
   -0.9745    -0.9736    -0.9734
   -0.9734    -0.9734    -0.9737
   -0.9751    -0.9759    -0.9768
   -0.9763    -0.9771    -0.9770
   -0.9771    -0.9771    -0.9771
   -0.9771    -0.9771    -0.9770
   -0.9773    -0.9777    -0.9777
   -0.9778    -0.9789    -0.9791
   -0.9788    -0.9789    -0.9790
   -0.9788    -0.9788    -0.9789
   -0.9783    -0.9762    -0.9695
   -0.9670    -0.9634    -0.9555
   -0.9535    -0.9535    -0.9501
   -0.9501    -0.9450    -0.9421
   -0.9371    -0.9346    -0.9309
   -0.9296    -0.9267    -0.9227
   -0.9196    -0.9163    -0.9153
   -0.9146    -0.9141    -0.9135
   -0.9127    -0.9126    -0.9130
   -0.9122    -0.9124    -0.9130
   -0.9130    -0.9135    -0.9143
   -0.9155    -0.9158    -0.9163
   -0.9176    -0.9176    -0.9206
   -0.9223    -0.9244    -0.9205
   -0.9194    -0.9190    -0.9182
   -0.9180    -0.9178    -0.9176
   -0.9174    -0.9176    -0.9176
   -0.9175    -0.9175    -0.9175
   -0.9175    -0.9093    -0.9074
   -0.8967    -0.8840    -0.8691
   -0.8563    -0.8563    -0.8230
   -0.8230    -0.7987    -0.7851
   -0.7779    -0.7742    -0.7526
   -0.7345    -0.7020    -0.6837
   -0.6837    -0.6691    -0.6399
   -0.6325    -0.6242    -0.5872
   -0.5872    -0.5581    -0.5423
   -0.5145    -0.5006    -0.4942
   -0.4840    -0.4654    -0.4359
   -0.4239    -0.4239    -0.4029
   -0.4029    -0.3783    -0.3563
   -0.3427    -0.3323    -0.3214
   -0.3081    -0.3051    -0.2904
   -0.2745    -0.2614    -0.2591
   -0.2439    -0.2327    -0.2232
   -0.2093    -0.2064    -0.2046
   -0.1983    -0.1988    -0.1985
   -0.1990    -0.1983    -0.1983
   -0.1987    -0.1987    -0.1983
   -0.1980    -0.1971    -0.1968
   -0.1970    -0.1946    -0.1940
   -0.1932    -0.1906    -0.1901
   -0.1878    -0.1870    -0.1851
   -0.1838    -0.1836    -0.1824
   -0.1818    -0.1807    -0.1803
   -0.1803    -0.1802    -0.1807
   -0.1810    -0.1821    -0.1841
   -0.1846    -0.1856    -0.1887
   -0.1899    -0.1939    -0.1953
   -0.1974    -0.1994    -0.1988
   -0.1989    -0.1989    -0.1989
   -0.1989    -0.1989    -0.1989
   -0.1989    -0.1989    -0.1989
   -0.1989    -0.1990    -0.1990
   -0.1989    -0.1989    -0.1990
   -0.1990    -0.1990    -0.1990
   -0.1989    -0.1990    -0.1990
   -0.1990    -0.1990    -0.1990
   -0.1990    -0.1990    -0.1990
   -0.1990    -0.1990    -0.1990
   -0.1990    -0.1991    -0.1990
   -0.1990    -0.1993    -0.2033
   -0.2081    -0.2124    -0.2183
   -0.2233    -0.2293    -0.2331
   -0.2387    -0.2442    -0.2495
   -0.2550    -0.2549    -0.2548
   -0.2547    -0.2548    -0.2548
   -0.2548    -0.2541    -0.2488
   -0.2452    -0.2409    -0.2344
   -0.2322    -0.2322    -0.2270
   -0.2225    -0.2161    -0.2126
   -0.2085    -0.2047    -0.1967
   -0.1906    -0.1874    -0.1837
   -0.1810    -0.1763    -0.1763
   -0.1703    -0.1672    -0.1656
   -0.1589    -0.1559    -0.1497
   -0.1477    -0.1477    -0.1401
   -0.1376    -0.1357    -0.1343
   -0.1343    -0.1280    -0.1268
   -0.1250    -0.1225    -0.1220
   -0.1219    -0.1218    -0.1219
   -0.1220    -0.1218    -0.1226
   -0.1226    -0.1234    -0.1252
   -0.1269    -0.1289    -0.1300
   -0.1322    -0.1346    -0.1356
   -0.1361    -0.1361    -0.1361
   -0.1361    -0.1361    -0.1361
   -0.1361    -0.1361    -0.1355
   -0.1281    -0.1210    -0.1120
   -0.1027    -0.0803    -0.0751
   -0.0728    -0.0650    -0.0440
   -0.0334    -0.0229    -0.0120
   -0.0008     0.0136     0.0218
    0.0366     0.0543     0.0637
    0.0730     0.1030     0.1128
    0.1252     0.1405     0.1493
    0.1559     0.1559     0.1718
    0.1900     0.2166     0.2279
    0.2520     0.2577     0.2667
    0.2805     0.2906     0.2961
    0.2961     0.3254     0.3438
    0.3580     0.3760     0.3863
    0.4009     0.4103     0.4364
    0.4477     0.4477     0.4721
    0.4721     0.4958     0.5080
    0.5229     0.5458     0.5474
    0.5532     0.5586     0.5813
    0.5864     0.6111     0.6157
    0.6271     0.6383     0.6621
    0.6804     0.6804     0.7014
    0.7105     0.7210     0.7308
    0.7458     0.7611     0.7809
    0.7964     0.8065     0.8065
    0.8133     0.8136     0.8139
    0.8136     0.8135     0.8126
    0.8122     0.8112     0.8104
    0.8094     0.8086     0.8076
    0.8069     0.8059     0.8059
    0.8062     0.8062     0.8061
    0.8070     0.8084     0.8099
    0.8121     0.8121     0.8131
    0.8145     0.8167     0.8172
    0.8177     0.8176     0.8175
    0.8175     0.8173     0.8178
    0.8180     0.8185     0.8200
    0.8211     0.8229     0.8242
    0.8263     0.8269     0.8300
    0.8315     0.8338     0.8342
    0.8342     0.8352     0.8365
    0.8365     0.8374     0.8374
    0.8374     0.8374     0.8373
    0.8373     0.8354     0.8344
    0.8332     0.8289     0.8144
    0.8047     0.7944     0.7834
    0.7723     0.7467     0.7467
    0.7319     0.7197     0.7040
    0.6845     0.6786     0.6517
    0.6517     0.6352     0.5967
    0.5840     0.5436     0.5268
    0.5225     0.5123     0.4990
    0.4821     0.4615     0.4380
    0.4240     0.4212     0.3914
    0.3664     0.3524     0.3371
    0.3201     0.3038     0.2899
    0.2735     0.2629     0.2389
    0.2223     0.1960     0.1797
    0.1652     0.1492     0.1354
    0.1102     0.1102     0.0968
    0.0833     0.0778     0.0590
    0.0439     0.0276     0.0165
    0.0038    -0.0033    -0.0067
   -0.0067    -0.0077    -0.0073
   -0.0064    -0.0065    -0.0065
   -0.0070    -0.0057    -0.0052
   -0.0049    -0.0057    -0.0048
   -0.0049    -0.0033    -0.0015
   -0.0012    -0.0014    -0.0007
   -0.0001     0.0000    -0.0011
   -0.0011    -0.0024    -0.0034
   -0.0036    -0.0034    -0.0033
   -0.0033    -0.0033    -0.0031
   -0.0035    -0.0035    -0.0035
   -0.0050    -0.0053    -0.0067
   -0.0077    -0.0092    -0.0095
   -0.0110    -0.0119    -0.0118
   -0.0118    -0.0116    -0.0116
   -0.0117    -0.0112    -0.0057
   -0.0013     0.0106     0.0106
    0.0219     0.0274     0.0328
    0.0385     0.0442     0.0502
    0.0593     0.0688     0.0688
    0.0811     0.0811     0.0944
    0.0958     0.0991     0.1121
    0.1192     0.1234     0.1299
    0.1401     0.1444     0.1513
    0.1571     0.1699     0.1760
    0.1840     0.1853     0.1951
    0.2025     0.2118     0.2165
    0.2220     0.2345     0.2357
    0.2404     0.2404     0.2462
    0.2516     0.2570     0.2710
    0.2797     0.2942     0.2990
    0.3034     0.3171     0.3204
    0.3258     0.3316     0.3393
    0.3554     0.3632     0.3746
    0.3822     0.3909     0.4029
    0.4131     0.4147     0.4183
    0.4236     0.4442     0.4514
    0.4514     0.4596     0.4663
    0.4789     0.4789     0.4896
    0.4962     0.5028     0.5178
    0.5303     0.5383     0.5383
    0.5442     0.5496     0.5585
    0.5697     0.5765     0.5821
    0.5831     0.5831     0.5834
    0.5833     0.5833     0.5834
    0.5834     0.5829     0.5827
    0.5826     0.5828     0.5826
    0.5826     0.5811     0.5811
    0.5796     0.5776     0.5776
    0.5762     0.5754     0.5750
    0.5746     0.5737     0.5730
    0.5724     0.5722     0.5723
    0.5724     0.5730     0.5739
    0.5744     0.5753     0.5764
    0.5793     0.5809     0.5816
    0.5815     0.5813     0.5812
    0.5812     0.5812     0.5812
    0.5811     0.5806     0.5807
    0.5805     0.5798     0.5799
    0.5797     0.5809     0.5809
    0.5820     0.5823     0.5823
    0.5827     0.5840     0.5848
    0.5883     0.5883     0.5906
    0.5906     0.5931     0.5966
    0.6008     0.6028     0.6053
    0.6086     0.6116     0.6174
    0.6204     0.6304     0.6325
    0.6348     0.6497     0.6533
    0.6594     0.6665     0.6758
    0.6821     0.6891     0.6992
    0.7042     0.7098     0.7106
    0.7108     0.7105     0.7105
    0.7112     0.7111     0.7119
    0.7124     0.7130     0.7136
    0.7140     0.7164     0.7176
    0.7183     0.7195     0.7210
    0.7225     0.7225     0.7222
    0.7222     0.7222     0.7221
    0.7220     0.7221     0.7218
    0.7192     0.7150     0.7150
    0.7088     0.7074     0.7037
    0.6990     0.6892     0.6825
    0.6786     0.6725     0.6681
    0.6611     0.6560     0.6498
    0.6410     0.6380     0.6380
    0.6245     0.6114     0.6013
